proprietaryname,proprietarynamesuffix,nonproprietaryname,dosageformname,routename,startmarketingdate,endmarketingdate,substancename,active_numerator_strength,active_ingred_unit,pharm_classes
Detrol,,tolterodine tartrate,"TABLET, FILM COATED",ORAL,19980325,,TOLTERODINE TARTRATE,2,mg/1,"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]"
Depo-SubQ Provera,,medroxyprogesterone acetate,"INJECTION, SUSPENSION",SUBCUTANEOUS,20050502,,MEDROXYPROGESTERONE ACETATE,104,mg/.65mL,"Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]"
Glyset,,miglitol,"TABLET, FILM COATED",ORAL,19961218,,MIGLITOL,25,mg/1,"alpha Glucosidase Inhibitors [MoA],alpha-Glucosidase Inhibitor [EPC]"
Glyset,,miglitol,"TABLET, FILM COATED",ORAL,19961218,,MIGLITOL,50,mg/1,"alpha Glucosidase Inhibitors [MoA],alpha-Glucosidase Inhibitor [EPC]"
Glyset,,miglitol,"TABLET, FILM COATED",ORAL,19961218,,MIGLITOL,100,mg/1,"alpha Glucosidase Inhibitors [MoA],alpha-Glucosidase Inhibitor [EPC]"
Ellence,,epirubicin hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,19990915,,EPIRUBICIN HYDROCHLORIDE,2,mg/mL,"Anthracycline Topoisomerase Inhibitor [EPC],Anthracyclines [Chemical/Ingredient],Topoisomerase Inhibitors [MoA]"
Ellence,,epirubicin hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,19990915,,EPIRUBICIN HYDROCHLORIDE,2,mg/mL,"Anthracycline Topoisomerase Inhibitor [EPC],Anthracyclines [Chemical/Ingredient],Topoisomerase Inhibitors [MoA]"
Caverject,,ALPROSTADIL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRACAVERNOUS,19950706,,ALPROSTADIL,5.4,ug/mL,"Genitourinary Arterial Vasodilation [PE],Prostaglandin Analog [EPC],Prostaglandin E1 Agonist [EPC],Prostaglandin Receptor Agonists [MoA],Prostaglandins [Chemical/Ingredient],Venous Vasodilation [PE]"
Zyvox,,linezolid,"TABLET, FILM COATED",ORAL,20000418,,LINEZOLID,600,mg/1,"Oxazolidinone Antibacterial [EPC],Oxazolidinones [Chemical/Ingredient]"
Zyvox,,linezolid,SUSPENSION,ORAL,20000418,,LINEZOLID,100,mg/5mL,"Oxazolidinone Antibacterial [EPC],Oxazolidinones [Chemical/Ingredient]"
Zyvox,,linezolid,"INJECTION, SOLUTION",INTRAVENOUS,20000418,,LINEZOLID,200,mg/100mL,"Oxazolidinone Antibacterial [EPC],Oxazolidinones [Chemical/Ingredient]"
Zyvox,,linezolid,"INJECTION, SOLUTION",INTRAVENOUS,20000418,,LINEZOLID,400,mg/200mL,"Oxazolidinone Antibacterial [EPC],Oxazolidinones [Chemical/Ingredient]"
Zyvox,,linezolid,"INJECTION, SOLUTION",INTRAVENOUS,20000418,,LINEZOLID,600,mg/300mL,"Oxazolidinone Antibacterial [EPC],Oxazolidinones [Chemical/Ingredient]"
SOMAVERT,,pegvisomant,KIT,,20030525,,,,,
SOMAVERT,,pegvisomant,KIT,,20030525,,,,,
SOMAVERT,,pegvisomant,KIT,,20030525,,,,,
Caverject Impulse,,Alprostadil,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRACAVERNOUS,20020611,,ALPROSTADIL,10,ug/.5mL,"Genitourinary Arterial Vasodilation [PE],Prostaglandin Analog [EPC],Prostaglandin E1 Agonist [EPC],Prostaglandin Receptor Agonists [MoA],Prostaglandins [Chemical/Ingredient],Venous Vasodilation [PE]"
Caverject Impulse,,Alprostadil,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRACAVERNOUS,20020611,,ALPROSTADIL,20,ug/.5mL,"Genitourinary Arterial Vasodilation [PE],Prostaglandin Analog [EPC],Prostaglandin E1 Agonist [EPC],Prostaglandin Receptor Agonists [MoA],Prostaglandins [Chemical/Ingredient],Venous Vasodilation [PE]"
Detrol LA,,tolterodine tartrate,"CAPSULE, EXTENDED RELEASE",ORAL,20000222,,TOLTERODINE TARTRATE,2,mg/1,"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]"
Detrol LA,,tolterodine tartrate,"CAPSULE, EXTENDED RELEASE",ORAL,20000222,,TOLTERODINE TARTRATE,4,mg/1,"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]"
SOMAVERT,,pegvisomant,KIT,,20140731,,,,,
SOMAVERT,,pegvisomant,KIT,,20140731,,,,,
Nicotrol,,nicotine,INHALANT,RESPIRATORY (INHALATION),19970502,,NICOTINE,4,mg/1,"Cholinergic Nicotinic Agonist [EPC],Nicotine [Chemical/Ingredient]"
Nicotrol,,nicotine,"SPRAY, METERED",NASAL,19960522,,NICOTINE,10,mg/mL,"Cholinergic Nicotinic Agonist [EPC],Nicotine [Chemical/Ingredient]"
Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20140926,,CLINDAMYCIN PHOSPHATE,12,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]"
Atgam,,EQUINE THYMOCYTE IMMUNE GLOBULIN,"INJECTION, SOLUTION",INTRAVENOUS,19811117,,EQUINE THYMOCYTE IMMUNE GLOBULIN,50,mg/mL,"Immunoglobulin G [EPC],Lymphocyte Function Alteration [PE],Increased T Lymphocyte Destruction [PE],Antibody-Surface Protein Interactions [MoA],Immunoglobulins [Chemical/Ingredient]"
Depo-Provera,,medroxyprogesterone acetate,"INJECTION, SUSPENSION",INTRAMUSCULAR,19921029,,MEDROXYPROGESTERONE ACETATE,150,mg/mL,"Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]"
Camptosar,,irinotecan hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,19960614,,IRINOTECAN HYDROCHLORIDE,20,mg/mL,"Topoisomerase Inhibitor [EPC],Topoisomerase Inhibitors [MoA]"
Aromasin,,exemestane,TABLET,ORAL,19991021,,EXEMESTANE,25,mg/1,"Aromatase Inhibitor [EPC],Aromatase Inhibitors [MoA]"
Cleocin,,clindamycin phosphate,SUPPOSITORY,VAGINAL,19990813,,CLINDAMYCIN PHOSPHATE,100,mg/1,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]"
Caverject,,ALPROSTADIL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRACAVERNOUS,19950706,,ALPROSTADIL,41.1,ug/mL,"Genitourinary Arterial Vasodilation [PE],Prostaglandin Analog [EPC],Prostaglandin E1 Agonist [EPC],Prostaglandin Receptor Agonists [MoA],Prostaglandins [Chemical/Ingredient],Venous Vasodilation [PE]"
Cleocin Phosphate,,clindamycin phosphate,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20140926,,CLINDAMYCIN PHOSPHATE,18,mg/mL,"Decreased Sebaceous Gland Activity [PE],Lincosamide Antibacterial [EPC],Lincosamides [Chemical/Ingredient]"
Azulfidine,,Sulfasalazine,TABLET,ORAL,19500620,,SULFASALAZINE,500,mg/1,"Aminosalicylate [EPC],Aminosalicylic Acids [Chemical/Ingredient]"
Azulfidine,EN-tabs,Sulfasalazine,"TABLET, DELAYED RELEASE",ORAL,19500620,,SULFASALAZINE,500,mg/1,"Aminosalicylate [EPC],Aminosalicylic Acids [Chemical/Ingredient]"
Emcyt,,estramustine phosphate sodium,CAPSULE,ORAL,19920101,,ESTRAMUSTINE PHOSPHATE SODIUM,140,mg/1,"Alkylating Activity [MoA],Alkylating Drug [EPC],Estradiol [Chemical/Ingredient],Nitrogen Mustard Compounds [Chemical/Ingredient]"
Cyklokapron,,TRANEXAMIC ACID,"INJECTION, SOLUTION",INTRAVENOUS,19861230,,TRANEXAMIC ACID,100,mg/mL,"Antifibrinolytic Agent [EPC],Decreased Fibrinolysis [PE]"
Estring,,estradiol,RING,VAGINAL,19960426,,ESTRADIOL,2,mg/1,"Estradiol Congeners [Chemical/Ingredient],Estrogen [EPC],Estrogen Receptor Agonists [MoA]"
Idamycin PFS,,idarubicin hydrochloride,SOLUTION,INTRAVENOUS,19970217,,IDARUBICIN HYDROCHLORIDE,1,mg/mL,"Anthracycline Topoisomerase Inhibitor [EPC],Anthracyclines [Chemical/Ingredient],Topoisomerase Inhibitors [MoA]"
Idamycin PFS,,idarubicin hydrochloride,SOLUTION,INTRAVENOUS,19970217,,IDARUBICIN HYDROCHLORIDE,1,mg/mL,"Anthracycline Topoisomerase Inhibitor [EPC],Anthracyclines [Chemical/Ingredient],Topoisomerase Inhibitors [MoA]"
Idamycin PFS,,idarubicin hydrochloride,SOLUTION,INTRAVENOUS,19970217,,IDARUBICIN HYDROCHLORIDE,1,mg/mL,"Anthracycline Topoisomerase Inhibitor [EPC],Anthracyclines [Chemical/Ingredient],Topoisomerase Inhibitors [MoA]"
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
GENOTROPIN,,somatropin,KIT,,19951220,,,,,
Mycobutin,,rifabutin,CAPSULE,ORAL,19921223,,RIFABUTIN,150,mg/1,"Rifamycin Antimycobacterial [EPC],Rifamycins [Chemical/Ingredient]"
Xalatan,,latanoprost,SOLUTION,OPHTHALMIC,19950320,,LATANOPROST,50,ug/mL,"Prostaglandin Analog [EPC],Prostaglandins [Chemical/Ingredient]"
Zinecard,,dexrazoxane,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19950526,,DEXRAZOXANE HYDROCHLORIDE,250,mg/25mL,Cytoprotective Agent [EPC]
Zinecard,,dexrazoxane,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19950526,,DEXRAZOXANE HYDROCHLORIDE,500,mg/50mL,Cytoprotective Agent [EPC]
MEGACE,,MEGESTROL ACETATE,SUSPENSION,ORAL,20090601,,MEGESTROL ACETATE,40,mg/mL,"Progesterone Congeners [Chemical/Ingredient],Progestin [EPC]"
IXEMPRA,,ixabepilone,KIT,,20071016,,,,,
IXEMPRA,,ixabepilone,KIT,,20071016,,,,,
BICNU,,carmustine,KIT,,20090601,20150930,,,,
CEENU,,LOMUSTINE,"CAPSULE, GELATIN COATED",ORAL,20081215,20160415,LOMUSTINE,10,mg/1,"Alkylating Activity [MoA],Alkylating Drug [EPC]"
CEENU,,LOMUSTINE,"CAPSULE, GELATIN COATED",ORAL,20081215,20160415,LOMUSTINE,40,mg/1,"Alkylating Activity [MoA],Alkylating Drug [EPC]"
VUMON,,TENIPOSIDE,"INJECTION, SOLUTION",INTRAVENOUS,19920714,20150714,TENIPOSIDE,10,mg/mL,"Topoisomerase Inhibitor [EPC],Topoisomerase Inhibitors [MoA]"
LYSODREN,,MITOTANE,TABLET,ORAL,20090601,,MITOTANE,500,mg/1,
ETOPOPHOS,,etoposide phosphate,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20090601,,ETOPOSIDE PHOSPHATE,100,mg/1,"Topoisomerase Inhibitor [EPC],Topoisomerase Inhibitors [MoA]"
Cysto-Conray II,,Iothalamate meglumine,INJECTION,URETERAL,20101008,,IOTHALAMATE MEGLUMINE,172,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Conray 30,,Iothalamate Meglumine,INJECTION,INTRAVASCULAR,20120326,,IOTHALAMATE MEGLUMINE,300,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Conray,,iothalamate meglumine,INJECTION,INTRAVASCULAR,20031014,,IOTHALAMATE MEGLUMINE,600,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
OPTIMARK,,gadoversetamide,"INJECTION, SOLUTION",INTRAVENOUS,20120122,,GADOVERSETAMIDE,0.5,mmol/mL,"Gadolinium-based Contrast Agent [EPC],Magnetic Resonance Contrast Activity [MoA]"
OPTIMARK,,GADOVERSETAMIDE,"INJECTION, SOLUTION",INTRAVENOUS,20101210,,GADOVERSETAMIDE,0.5,mmol/mL,"Gadolinium-based Contrast Agent [EPC],Magnetic Resonance Contrast Activity [MoA]"
OPTIMARK,,gadoversetamide,"INJECTION, SOLUTION",INTRAVENOUS,20120122,,GADOVERSETAMIDE,0.5,mmol/mL,"Gadolinium-based Contrast Agent [EPC],Magnetic Resonance Contrast Activity [MoA]"
SODIUM CHLORIDE,,sodium chloride,INJECTION,INTRAVASCULAR,20120901,,SODIUM CHLORIDE,0.9,mg/mL,
MD-76R,,Diatrizoate meglumine and Diatrizoate sodium,SOLUTION,INTRAVENOUS,19890929,,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM,660; 100,mg/mL; mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA],Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Optiray,Pharmacy Bulk Package - 320,Ioversol,INJECTION,INTRA-ARTERIAL; INTRAVENOUS,20111017,,IOVERSOL,678,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Optiray,320,Ioversol,INJECTION,INTRA-ARTERIAL; INTRAVENOUS,20120304,,IOVERSOL,678,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Optiray,240,Ioversol,INJECTION,INTRA-ARTERIAL; INTRAVENOUS,20120304,,IOVERSOL,509,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Optiray,Pharmacy Bulk Package - 300,Ioversol,INJECTION,INTRA-ARTERIAL; INTRAVENOUS,20111017,,IOVERSOL,636,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Optiray,300,Ioversol,INJECTION,INTRA-ARTERIAL; INTRAVENOUS,20120304,,IOVERSOL,636,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Optiray,Pharmacy Bulk Package - 350,Ioversol,INJECTION,INTRA-ARTERIAL; INTRAVENOUS,20111017,,IOVERSOL,741,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Optiray,350,Ioversol,INJECTION,INTRA-ARTERIAL; INTRAVENOUS,20120304,,IOVERSOL,741,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Conray 43,,iothalamate meglumine,INJECTION,INTRAVASCULAR,20101011,,IOTHALAMATE MEGLUMINE,430,mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
MD-GASTROVIEW,,diatrizoate meglumine and diatrizoate sodium,SOLUTION,ORAL; RECTAL,20090831,,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM,600; 100,mg/mL; mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA],Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Hexabrix,,IOXAGLATE MEGLUMINE and IOXAGLATE SODIUM,INJECTION,INTRAVASCULAR,19850726,,IOXAGLATE MEGLUMINE; IOXAGLATE SODIUM,393; 196,mg/mL; mg/mL,"Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA],Radiographic Contrast Agent [EPC],X-Ray Contrast Activity [MoA]"
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,1,Ci/1,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,1.5,Ci/1,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,2,Ci/1,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,2.5,Ci/1,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,3,Ci/1,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,3.5,Ci/1,
OCTREOSCAN,,Indium In -111 Pentetreotide,KIT,,20070501,,,,,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,6,Ci/1,
UltraTag,RBC,Kit for the preparation of Technetium Tc 99m-Labeled Red Blood Cells,KIT,,19910610,,,,,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,7.5,Ci/1,
TechneScan HDP,,Technetium Tc 99m Oxidronate,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20070227,,OXIDRONATE DISODIUM,3.15,mg/1,
Kit for the Preparation of Technetium Tc 99m Sestamibi,,Tc 99m Sestamibi,INJECTION,INTRAVENOUS,20111031,,TETRAKIS(2-METHOXYISOBUTYLISOCYANIDE)COPPER(I) TETRAFLUOROBORATE,1,mg/10mL,
KIT FOR THE PREPARATION OF TC 99M PYROPHOSPHATE,,TechneScan PYP,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20090320,,SODIUM PYROPHOSPHATE; STANNOUS CHLORIDE,11.9; 3.2,mg/10mL; mg/10mL,
TechneScan MAG3,,Mertiatide,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,19900615,,BETIATIDE,1,mg/1,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,11,Ci/1,
THALLOUS CHLORIDE Tl 201,,"thallous chloride, Tl 201","INJECTION, SOLUTION",INTRAVENOUS,20120229,,THALLOUS CHLORIDE TL-201,1,mCi/mL,"Radioactive Diagnostic Agent [EPC],Radiopharmaceutical Activity [MoA]"
INDIUM IN 111 CHLORIDE,,indium in 111 chloride,SOLUTION,INTRAVENOUS,20071207,,INDIUM IN-111 CHLORIDE,10,mCi/mL,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,14,Ci/1,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,16,Ci/1,
GALLIUM CITRATE GA-67,,gallium citrate ga-67,"INJECTION, SOLUTION",INTRAVENOUS,20080221,,GALLIUM CHLORIDE GA-67,2,mCi/mL,
Ultra-Technekow,V4,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20140610,,MOLYBDENUM MO-99,19,Ci/1,
Sodium Iodide I-131,Therapeutic,"sodium iodide, i-131",SOLUTION,ORAL,20110822,,SODIUM IODIDE I-131,5,mCi/mL,"Radioactive Therapeutic Agent [EPC],Radiopharmaceutical Activity [MoA]"
Sodium Iodide I-131,Therapeutic,"sodium iodide, i-131",SOLUTION,ORAL,20110822,,SODIUM IODIDE I-131,25,mCi/mL,"Radioactive Therapeutic Agent [EPC],Radiopharmaceutical Activity [MoA]"
SODIUM IODIDE I 131,,sodium iodide i 131,"CAPSULE, GELATIN COATED",ORAL,20120125,,SODIUM IODIDE I-131,1,mCi/mL,"Radioactive Therapeutic Agent [EPC],Radiopharmaceutical Activity [MoA]"
SODIUM IODIDE I 123,,sodium iodide i 123,"CAPSULE, GELATIN COATED",ORAL,20070411,,SODIUM IODIDE I-123,100,uCi/1,
SODIUM IODIDE I 123,,sodium iodide i 123,"CAPSULE, GELATIN COATED",ORAL,20070411,,SODIUM IODIDE I-123,200,uCi/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,19960716,,MOLYBDENUM MO-99,1,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,19960716,,MOLYBDENUM MO-99,1.5,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,19960716,,MOLYBDENUM MO-99,2,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,19960716,,MOLYBDENUM MO-99,2.5,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,19960716,,MOLYBDENUM MO-99,3,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,3.5,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,5,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,6,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,7.5,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,11,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,14,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,16,Ci/1,
Ultra-TechneKow,DTE,Technetium Tc-99m Generator,"INJECTION, SOLUTION",INTRAVENOUS,20050701,,MOLYBDENUM MO-99,19,Ci/1,
TAZORAC,,tazarotene,GEL,CUTANEOUS,19970801,,TAZAROTENE,1,mg/g,"Retinoid [EPC],Retinoids [Chemical/Ingredient]"
PRED-G,,gentamicin sulfate and prednisolone acetate,OINTMENT,OPHTHALMIC,19900101,,GENTAMICIN SULFATE; PREDNISOLONE ACETATE,3; 6,mg/g; mg/g,"Aminoglycoside Antibacterial [EPC],Aminoglycosides [Chemical/Ingredient],Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"
PRED-G,,"gentamicin, prednisolone acetate",SUSPENSION/ DROPS,OPHTHALMIC,19900219,,GENTAMICIN; PREDNISOLONE ACETATE,3; 10,mg/mL; mg/mL,"Aminoglycoside Antibacterial [EPC],Aminoglycosides [Chemical/Ingredient],Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"
REFRESH P.M.,,"mineral oil, petrolatum",OINTMENT,OPHTHALMIC,19900423,,MINERAL OIL; PETROLATUM,425; 573,mg/g; mg/g,
REFRESH LACRI-LUBE,,"mineral oil, petrolatum",OINTMENT,OPHTHALMIC,19771215,,MINERAL OIL; PETROLATUM,425; 568,mg/g; mg/g,
BLEPHAMIDE,,sulfacetamide sodium and prednisolone acetate,OINTMENT,OPHTHALMIC,19870101,,PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM,2; 100,mg/g; mg/g,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA],Sulfonamide Antibacterial [EPC],Sulfonamides [Chemical/Ingredient]"
FML,,fluorometholone,OINTMENT,OPHTHALMIC,19851209,,FLUOROMETHOLONE,1,mg/g,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"
REFRESH PLUS,,carboxymethylcellulose sodium,SOLUTION/ DROPS,OPHTHALMIC,19961009,,CARBOXYMETHYLCELLULOSE SODIUM,5,mg/mL,
REFRESH Classic,,"Polyvinyl Alcohol, Povidone",SOLUTION/ DROPS,OPHTHALMIC,19850912,,POLYVINYL ALCOHOL; POVIDONE,14; 6,mg/mL; mg/mL,
REFRESH TEARS,,carboxymethylcellulose sodium,SOLUTION/ DROPS,OPHTHALMIC,19970516,,CARBOXYMETHYLCELLULOSE SODIUM,5,mg/mL,
BOTOX,,onabotulinumtoxinA,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRADERMAL; INTRAMUSCULAR,19891215,,BOTULINUM TOXIN TYPE A,100,[USP&apos'U]/1,"Acetylcholine Release Inhibitor [EPC],Acetylcholine Release Inhibitors [MoA]"
Acular,,Ketorolac Tromethamine,SOLUTION/ DROPS,OPHTHALMIC,19921201,,KETOROLAC TROMETHAMINE,5,mg/mL,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
LUMIGAN,,bimatoprost,SOLUTION/ DROPS,OPHTHALMIC,20100910,,BIMATOPROST,0.1,mg/mL,"Prostaglandin Analog [EPC],Prostaglandins [Chemical/Ingredient]"
REFRESH OPTIVE,,carboxymethylcellulose sodium and glycerin,SOLUTION/ DROPS,OPHTHALMIC,20060906,,CARBOXYMETHYLCELLULOSE SODIUM; GLYCERIN,5; 9,mg/mL; mg/mL,
OZURDEX,,dexamethasone,IMPLANT,INTRAVITREAL,20090901,,DEXAMETHASONE,0.7,mg/1,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"
Refresh Optive,,"Carboxymethylcellulose Sodium, Glycerin",SOLUTION/ DROPS,OPHTHALMIC,20080822,,CARBOXYMETHYLCELLULOSE SODIUM; GLYCERIN,5; 9,mg/mL; mg/mL,
VIVITE Daily Facial Moisturizer with Sunscreen SPF 30,,"octinoxate, octisalate, oxybenzone",LOTION,TOPICAL,20080519,,OCTINOXATE; OCTISALATE; OXYBENZONE,75; 50; 60,mg/mL; mg/mL; mg/mL,
ACUVAIL,,ketorolac tromethamine,SOLUTION/ DROPS,OPHTHALMIC,20090801,,KETOROLAC TROMETHAMINE,4.5,mg/mL,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
SANCTURA,,trospium chloride,TABLET,ORAL,20071201,20150919,TROSPIUM CHLORIDE,20,mg/1,"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]"
ZYMAXID,,gatifloxacin,SOLUTION/ DROPS,OPHTHALMIC,20100519,,GATIFLOXACIN,5,mg/mL,"Quinolone Antimicrobial [EPC],Quinolones [Chemical/Ingredient]"
LATISSE,,bimatoprost,SOLUTION/ DROPS,OPHTHALMIC,20090126,,BIMATOPROST,0.3,mg/mL,"Prostaglandin Analog [EPC],Prostaglandins [Chemical/Ingredient]"
ACZONE,,dapsone,GEL,TOPICAL,20090624,,DAPSONE,50,mg/g,"Sulfone [EPC],Sulfones [Chemical/Ingredient]"
